Database Report 1 (R4)	Total Searches, Result Clicks and Record Views by Month and Database
BADISCHE LANDESBIBLIOTHEK
BADISCHE LANDESBIBLIOTHEK
Period covered by Report:
2019-01-01 to 2019-04-30
Date run:
2019-09-17
Database	Publisher	Platform	User Activity	Reporting Period Total	Jan-2019	Feb-2019	Mar-2019	Apr-2019
EDS Publication Finder	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (FULL - use conedsqd2)	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (FULL - use conedsqd2)	EBSCO	EBSCOhost	Searches-federated and automated	28	0	7	14	7
EDS consolidated db (FULL - use conedsqd2)	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (FULL - use conedsqd2)	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no10	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no10	EBSCO	EBSCOhost	Searches-federated and automated	1380	385	318	343	334
EDS consolidated db (QD facet) no10	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no10	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no11	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no11	EBSCO	EBSCOhost	Searches-federated and automated	1376	382	316	343	335
EDS consolidated db (QD facet) no11	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no11	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no13	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no13	EBSCO	EBSCOhost	Searches-federated and automated	1410	386	325	357	342
EDS consolidated db (QD facet) no13	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no13	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no14	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no14	EBSCO	EBSCOhost	Searches-federated and automated	1409	383	325	358	343
EDS consolidated db (QD facet) no14	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no14	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no2	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no2	EBSCO	EBSCOhost	Searches-federated and automated	1412	385	325	359	343
EDS consolidated db (QD facet) no2	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no2	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no4	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no4	EBSCO	EBSCOhost	Searches-federated and automated	1380	385	318	343	334
EDS consolidated db (QD facet) no4	EBSCO	EBSCOhost	Result Clicks	0	0	0	0	0
EDS consolidated db (QD facet) no4	EBSCO	EBSCOhost	Record Views	0	0	0	0	0
EDS consolidated db (QD facet) no6	EBSCO	EBSCOhost	Regular Searches	0	0	0	0	0
EDS consolidated db (QD facet) no6	EBSCO	EBSCOhost	Searches-federated and automated	1409	385	325	357	342
